PROJECT,TIME,CONFIG,FI,AA,NTA,DAC,RAC,RC,AC,FFD,FDD,CB,CA,BA,DATE,PROJ_CONFIG_AVG,STATUS,BATCH,DEFAULT,RSpeedup,RSPEEDPERC,CONFIG_RSPEEDUP,CONFIG_GM_SPEEDUP,UNIQUE_CONFIG
1,hw-rankselect-0.13.3.1,12.796,0,6,12,9,46,51,42,12,12,36,16,10,24,may14,13.0681,ORIGINAL,Search no pragmas,7.934,0.607127279405575,-39.2872720594425,0.947218719353091,-5.27812806469092,14
2,metrics-0.4.1.1,58.543,0,6,12,9,46,51,42,12,12,36,16,10,24,may14,59.4398,ORIGINAL,Search no pragmas,59.053,0.993492575681614,-0.650742431838602,0.947218719353091,-5.27812806469092,14
3,nonempty-containers-0.3.3.0,3.984,0,6,12,9,46,51,42,12,12,36,16,10,24,may14,3.9764,MODIFIED,Search no pragmas,4.274,1.07484156523489,7.48415652348859,0.947218719353091,-5.27812806469092,14
4,poly-0.3.3.0,103.874,0,6,12,9,46,51,42,12,12,36,16,10,24,may14,98.1376,MODIFIED,Search no pragmas,99.634,1.01524797834877,1.52479783487673,0.947218719353091,-5.27812806469092,14
5,ListLike-4.6.3,22.753,0,6,12,9,46,51,42,12,12,36,16,10,24,may14,22.8141,ORIGINAL,Search no pragmas,23.583,1.03370284166371,3.3702841663708,0.947218719353091,-5.27812806469092,14
6,loop-0.3.0,20.084,0,6,12,9,46,51,42,12,12,36,16,10,24,may14,20.0833,ORIGINAL,Search no pragmas,19.835,0.98763649400248,-1.23635059975203,0.947218719353091,-5.27812806469092,14
7,midi-0.2.2.2,23.463,0,6,12,9,46,51,42,12,12,36,16,10,24,may14,23.441,ORIGINAL,Search no pragmas,18.943,0.808113988311079,-19.1886011688921,0.947218719353091,-5.27812806469092,14
8,monoid-subclasses-1.0.1,35.713,0,6,12,9,46,51,42,12,12,36,16,10,24,may14,36.208,MODIFIED,Search no pragmas,36.713,1.01394719399028,1.39471939902784,0.947218719353091,-5.27812806469092,14
9,reinterpret-cast-0.1.0,27.163,0,6,12,9,46,51,42,12,12,36,16,10,24,may14,27.061,ORIGINAL,Search no pragmas,27.003,0.997856694135472,-0.214330586452827,0.947218719353091,-5.27812806469092,14
10,set-cover-0.1,14.773,0,6,12,9,46,51,42,12,12,36,16,10,24,may14,14.744,ORIGINAL,Search no pragmas,15.603,1.05826098752035,5.82609875203473,0.947218719353091,-5.27812806469092,14
11,hw-rankselect-0.13.3.1,13.545,1,10,3,4,61,22,48,25,24,12,12,13,18,may14,13.3807,ORIGINAL,Search no pragmas,7.934,0.59294356797477,-40.705643202523,0.905684772562518,-9.4315227437482,15
12,metrics-0.4.1.1,59.223,1,10,3,4,61,22,48,25,24,12,12,13,18,may14,59.06,ORIGINAL,Search no pragmas,59.053,0.999881476464612,-0.0118523535387771,0.905684772562518,-9.4315227437482,15
13,nonempty-containers-0.3.3.0,4.085,1,10,3,4,61,22,48,25,24,12,12,13,18,may14,4.1646,MODIFIED,Search no pragmas,4.274,1.0262690294386,2.62690294386014,0.905684772562518,-9.4315227437482,15
14,poly-0.3.3.0,95.554,1,10,3,4,61,22,48,25,24,12,12,13,18,may14,101.7578,MODIFIED,Search no pragmas,99.634,0.979128872676099,-2.08711273239005,0.905684772562518,-9.4315227437482,15
15,ListLike-4.6.3,24.423,1,10,3,4,61,22,48,25,24,12,12,13,18,may14,24.4361,ORIGINAL,Search no pragmas,23.583,0.965088537041508,-3.49114629584918,0.905684772562518,-9.4315227437482,15
16,loop-0.3.0,19.995,1,10,3,4,61,22,48,25,24,12,12,13,18,may14,20.002,ORIGINAL,Search no pragmas,19.835,0.991650834916508,-0.834916508349171,0.905684772562518,-9.4315227437482,15
17,midi-0.2.2.2,23.883,1,10,3,4,61,22,48,25,24,12,12,13,18,may14,23.934,ORIGINAL,Search no pragmas,18.943,0.791468204228294,-20.8531795771706,0.905684772562518,-9.4315227437482,15
