PROJECT,TIME,CONFIG,FI,AA,NTA,DAC,RAC,RC,AC,FFD,FDD,CB,CA,BA,DATE,PROJ_CONFIG_AVG,STATUS,BATCH,DEFAULT,RSpeedup,RSPEEDPERC,CONFIG_RSPEEDUP,CONFIG_GM_SPEEDUP,UNIQUE_CONFIG
1,poly-0.3.3.0,41.124,0,13,16,6,37,57,67,41,38,19,12,10,21,may10,42.527,MODIFIED,Search with pragmas,99.634,2.34284101864698,134.284101864698,1.06428312596187,6.4283125961871,1
2,ListLike-4.6.3,21.803,0,13,16,6,37,57,67,41,38,19,12,10,21,may10,21.875,ORIGINAL,Search with pragmas,23.583,1.07808,7.80799999999999,1.06428312596187,6.4283125961871,1
3,loop-0.3.0,20.674,0,13,16,6,37,57,67,41,38,19,12,10,21,may10,20.7062,ORIGINAL,Search with pragmas,19.835,0.957925645458848,-4.20743545411518,1.06428312596187,6.4283125961871,1
4,midi-0.2.2.2,21.413,0,13,16,6,37,57,67,41,38,19,12,10,21,may10,21.3809,ORIGINAL,Search with pragmas,18.943,0.88597767166022,-11.402232833978,1.06428312596187,6.4283125961871,1
5,monoid-subclasses-1.0.1,35.903,0,13,16,6,37,57,67,41,38,19,12,10,21,may10,37.407,MODIFIED,Search with pragmas,36.713,0.981447322693614,-1.85526773063864,1.06428312596187,6.4283125961871,1
6,reinterpret-cast-0.1.0,29.073,0,13,16,6,37,57,67,41,38,19,12,10,21,may10,29.418,ORIGINAL,Search with pragmas,27.003,0.91790740363043,-8.20925963695697,1.06428312596187,6.4283125961871,1
7,set-cover-0.1,14.753,0,13,16,6,37,57,67,41,38,19,12,10,21,may10,14.712,ORIGINAL,Search with pragmas,15.603,1.06056280587276,6.0562805872757,1.06428312596187,6.4283125961871,1
8,hw-rankselect-0.13.3.1,8.495,0,13,16,6,37,57,67,41,38,19,12,10,21,may10,8.425,ORIGINAL,Search with pragmas,7.934,0.941721068249258,-5.82789317507419,1.06428312596187,6.4283125961871,1
9,metrics-0.4.1.1,59.343,0,13,16,6,37,57,67,41,38,19,12,10,21,may10,59.3639,ORIGINAL,Search with pragmas,59.053,0.99476281039487,-0.523718960513042,1.06428312596187,6.4283125961871,1
10,nonempty-containers-0.3.3.0,4.114,0,13,16,6,37,57,67,41,38,19,12,10,21,may10,4.398,MODIFIED,Search with pragmas,4.274,0.971805366075489,-2.8194633924511,1.06428312596187,6.4283125961871,1
11,poly-0.3.3.0,40.333,1,15,15,8,42,33,64,47,58,37,34,9,18,may10,43.083,MODIFIED,Search with pragmas,99.634,2.31260590023907,131.260590023907,1.09698617487382,9.69861748738192,2
12,ListLike-4.6.3,22.473,1,15,15,8,42,33,64,47,58,37,34,9,18,may10,22.464,ORIGINAL,Search with pragmas,23.583,1.04981303418803,4.98130341880343,1.09698617487382,9.69861748738192,2
13,loop-0.3.0,20.704,1,15,15,8,42,33,64,47,58,37,34,9,18,may10,20.6731,ORIGINAL,Search with pragmas,19.835,0.959459394091839,-4.05406059081609,1.09698617487382,9.69861748738192,2
14,midi-0.2.2.2,18.993,1,15,15,8,42,33,64,47,58,37,34,9,18,may10,18.948,ORIGINAL,Search with pragmas,18.943,0.999736119907114,-0.0263880092885693,1.09698617487382,9.69861748738192,2
15,monoid-subclasses-1.0.1,34.973,1,15,15,8,42,33,64,47,58,37,34,9,18,may10,35.583,MODIFIED,Search with pragmas,36.713,1.03175673776804,3.17567377680354,1.09698617487382,9.69861748738192,2
16,reinterpret-cast-0.1.0,27.603,1,15,15,8,42,33,64,47,58,37,34,9,18,may10,26.928,ORIGINAL,Search with pragmas,27.003,1.00278520499109,0.278520499108725,1.09698617487382,9.69861748738192,2
17,set-cover-0.1,15.033,1,15,15,8,42,33,64,47,58,37,34,9,18,may10,15.044,ORIGINAL,Search with pragmas,15.603,1.03715767083223,3.71576708322254,1.09698617487382,9.69861748738192,2
18,hw-rankselect-0.13.3.1,8.395,1,15,15,8,42,33,64,47,58,37,34,9,18,may10,8.0025,ORIGINAL,Search with pragmas,7.934,0.99144017494533,-0.855982505467034,1.09698617487382,9.69861748738192,2
19,metrics-0.4.1.1,59.573,1,15,15,8,42,33,64,47,58,37,34,9,18,may10,58.9139,ORIGINAL,Search with pragmas,59.053,1.00236107268404,0.236107268403551,1.09698617487382,9.69861748738192,2
20,nonempty-containers-0.3.3.0,4.654,1,15,15,8,42,33,64,47,58,37,34,9,18,may10,4.206,MODIFIED,Search with pragmas,4.274,1.01616737993343,1.61673799334285,1.09698617487382,9.69861748738192,2
21,poly-0.3.3.0,45.754,2,5,8,19,33,45,25,62,68,34,33,6,20,may10,41.681,MODIFIED,Search with pragmas,99.634,2.39039370456563,139.039370456563,1.10034705736953,10.0347057369528,3
22,ListLike-4.6.3,22.313,2,5,8,19,33,45,25,62,68,34,33,6,20,may10,22.288,ORIGINAL,Search with pragmas,23.583,1.05810301507538,5.81030150753767,1.10034705736953,10.0347057369528,3
23,loop-0.3.0,20.843,2,5,8,19,33,45,25,62,68,34,33,6,20,may10,20.8321,ORIGINAL,Search with pragmas,19.835,0.952136366472895,-4.78636335271048,1.10034705736953,10.0347057369528,3
