PROJECT,TYPE_TIME,TIME,CONFIG,RUN,FI,AA,NTA,DAC,RAC,RC,AC,FFD,FDD,CB,CA,BA,temp1,temp2,temp3,temp4,temp5,temp6,temp7,temp8,temp9,temp10,DATE,PROJ_CONFIG_AVG
1,hw-rankselect-0.13.3.1,real,7.934,0,2,67.125,65,67.125,63.75,64.5,61.75,61.5,63.5,64,62.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nov7_DNP,8.1119
2,ListLike-4.6.3,real,23.583,0,2,68.75,62,68.75,63.75,63.5,60.5,60.25,63,64.5,61.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nov7_DNP,23.6461
3,loop-0.3.0,real,19.835,0,2,63.875,56.75,63.875,58,57.25,54.75,54.75,57,57.75,55.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nov7_DNP,19.8335
4,metrics-0.4.1.1,real,59.053,0,2,65,62,65,62.75,63.5,61.25,60.25,62.75,63.25,61.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nov7_DNP,58.455
5,midi-0.2.2.2,real,18.943,0,2,63.75,60.25,63.75,61.25,61,59.25,59.5,60.5,61.5,60.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nov7_DNP,18.964
6,monoid-subclasses-1.0.1,real,36.713,0,2,64,56.5,64,58.5,59.25,56,55.25,58,58,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nov7_DNP,36.3901
7,nonempty-containers-0.3.3.0,real,4.274,0,2,64.125,60.75,64.125,60.75,61.25,58.5,58.5,60.5,61.25,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nov7_DNP,4.532
8,poly-0.3.3.0,real,99.634,0,2,65.25,57.75,65.25,58,58.5,55.75,54.75,57.5,57.75,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nov7_DNP,99.6958
9,reinterpret-cast-0.1.0,real,27.003,0,2,64,55.75,64,56,57.25,56,54.75,56,57,55.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nov7_DNP,27.029
10,set-cover-0.1,real,15.603,0,2,61.5,56.75,61.5,57,57.25,55,54.75,56.5,57,56.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nov7_DNP,15.581
